Epoch 1 | Batch 0/94 | Loss: 1.0973 | Acc: 32.81%
Epoch 1 | Batch 50/94 | Loss: 0.5197 | Acc: 75.05%
Epoch 2 | Batch 0/94 | Loss: 0.5198 | Acc: 83.59%
Epoch 2 | Batch 50/94 | Loss: 0.3155 | Acc: 85.48%
Epoch 3 | Batch 0/94 | Loss: 0.2658 | Acc: 92.19%
Epoch 3 | Batch 50/94 | Loss: 0.1793 | Acc: 87.70%
Epoch 4 | Batch 0/94 | Loss: 0.2419 | Acc: 89.06%
Epoch 4 | Batch 50/94 | Loss: 0.1692 | Acc: 90.12%
Epoch 5 | Batch 0/94 | Loss: 0.1983 | Acc: 92.97%
Epoch 5 | Batch 50/94 | Loss: 0.2254 | Acc: 89.89%
Epoch 6 | Batch 0/94 | Loss: 0.2493 | Acc: 85.94%
Epoch 6 | Batch 50/94 | Loss: 1.0986 | Acc: 87.56%
Epoch 7 | Batch 0/94 | Loss: 1.0986 | Acc: 68.75%
Epoch 7 | Batch 50/94 | Loss: 1.0986 | Acc: 70.30%
Epoch 8 | Batch 0/94 | Loss: 1.0986 | Acc: 77.34%
Epoch 8 | Batch 50/94 | Loss: 1.0986 | Acc: 76.61%
Epoch 9 | Batch 0/94 | Loss: 1.0986 | Acc: 76.56%
Epoch 9 | Batch 50/94 | Loss: 1.0986 | Acc: 77.71%
Epoch 10 | Batch 0/94 | Loss: 1.0986 | Acc: 56.25%
Epoch 10 | Batch 50/94 | Loss: 1.0973 | Acc: 70.70%
